Date,I_data,New_cases,Observed
2020-06-28,2338,609,1
2020-06-29,2268,390,1
2020-06-30,2302,393,1
2020-07-01,1703,0,0
2020-07-02,3343,1951,1
2020-07-03,3726,992,1
2020-07-04,4227,891,1
2020-07-05,4688,854,1
2020-07-06,5329,641,1
2020-07-07,3378,0,0
2020-07-08,3171,785,1
2020-07-09,2550,270,1
2020-07-10,1696,0,0
2020-07-11,1789,734,1
2020-07-12,1789,0,0
2020-07-13,1877,873,1
2020-07-14,1607,0,0
2020-07-15,2542,935,1
2020-07-16,2415,607,1
2020-07-17,3178,763,1
2020-07-18,2864,559,1
2020-07-19,2864,0,0
2020-07-20,3306,1377,1
2020-07-21,2699,0,0
2020-07-22,3421,1485,1
2020-07-23,3452,590,1
2020-07-24,3984,532,1
2020-07-25,3262,655,1
2020-07-26,4044,782,1
2020-07-27,3295,736,1
2020-07-28,3064,359,1
2020-07-29,2532,0,0
2020-07-30,3390,1513,1
2020-07-31,3406,798,1
2020-08-01,2670,0,0
2020-08-02,3574,1263,1
2020-08-03,4141,567,1
2020-08-04,2628,0,0
2020-08-05,2721,891,1
2020-08-06,2721,0,0
2020-08-07,2137,679,1
2020-08-08,1762,192,1
2020-08-09,1930,168,1
2020-08-10,1039,0,0
2020-08-11,1314,275,1
2020-08-12,635,0,0
2020-08-13,806,363,1
2020-08-14,638,0,0
2020-08-15,1081,443,1
2020-08-16,1146,340,1
2020-08-17,1146,0,0
2020-08-18,1050,267,1
2020-08-19,1115,65,1
2020-08-20,852,180,1
2020-08-21,629,117,1
2020-08-22,629,0,0
2020-08-23,362,0,0
2020-08-24,516,219,1
2020-08-25,336,0,0
2020-08-26,219,0,0
2020-08-27,674,455,1
2020-08-28,674,0,0
2020-08-29,455,0,0
2020-08-30,455,0,0
2020-08-31,455,0,0
2020-09-01,417,417,1
2020-09-02,481,64,1
2020-09-03,573,92,1
2020-09-04,716,143,1
2020-09-05,892,176,1
2020-09-06,600,125,1
2020-09-07,611,75,1
2020-09-08,565,46,1
2020-09-09,422,0,0
2020-09-10,246,0,0
2020-09-11,288,167,1
2020-09-12,267,54,1
2020-09-13,280,59,1
2020-09-14,280,0,0
2020-09-15,280,0,0
2020-09-16,261,148,1
2020-09-17,331,124,1
2020-09-18,323,51,1
2020-09-19,376,53,1
2020-09-20,410,34,1
2020-09-21,262,0,0
2020-09-22,138,0,0
2020-09-23,317,230,1
2020-09-24,264,0,0
2020-09-25,321,91,1
2020-09-26,321,0,0
2020-09-27,490,169,1
2020-09-28,260,0,0
2020-09-29,372,112,1
2020-09-30,281,0,0
2020-10-01,339,58,1
2020-10-02,170,0,0
2020-10-03,291,121,1
2020-10-04,221,42,1
2020-10-05,238,17,1
2020-10-06,203,23,1
2020-10-07,221,18,1
2020-10-08,169,69,1
2020-10-09,194,67,1
2020-10-10,206,29,1
2020-10-11,208,25,1
2020-10-12,212,22,1
2020-10-13,169,26,1
2020-10-14,135,33,1
2020-10-15,184,78,1
2020-10-16,221,62,1
2020-10-17,288,89,1
2020-10-18,262,0,0
2020-10-19,229,0,0
2020-10-20,151,0,0
2020-10-21,318,229,1
2020-10-22,229,0,0
2020-10-23,229,0,0
2020-10-24,229,0,0
2020-10-25,447,218,1
2020-10-26,301,83,1
2020-10-27,365,64,1
2020-10-28,434,69,1
2020-10-29,510,76,1
2020-10-30,292,0,0
2020-10-31,520,311,1
2020-11-01,588,132,1
2020-11-02,664,145,1
2020-11-03,704,116,1
2020-11-04,804,100,1
2020-11-05,691,198,1
2020-11-06,659,100,1
2020-11-07,784,270,1
2020-11-08,904,236,1
2020-11-09,953,149,1
2020-11-10,816,61,1
2020-11-11,821,105,1
2020-11-12,551,0,0
2020-11-13,315,0,0
2020-11-14,166,0,0
2020-11-15,105,0,0
2020-11-16,0,0,0
2020-11-17,594,594,1
2020-11-18,751,157,1
2020-11-19,818,67,1
2020-11-20,971,153,1
2020-11-21,1061,90,1
2020-11-22,508,41,1
2020-11-23,400,49,1
2020-11-24,438,105,1
2020-11-25,382,97,1
2020-11-26,385,93,1
2020-11-27,442,98,1
2020-11-28,516,123,1
2020-11-29,514,103,1
2020-11-30,620,203,1
2020-12-01,629,102,1
2020-12-02,607,76,1
2020-12-03,581,97,1
2020-12-04,627,149,1
2020-12-05,538,114,1
2020-12-06,540,104,1
2020-12-07,570,106,1
2020-12-08,562,89,1
2020-12-09,494,81,1
2020-12-10,526,146,1
2020-12-11,532,110,1
2020-12-12,542,116,1
2020-12-13,558,105,1
2020-12-14,539,62,1
2020-12-15,493,100,1
2020-12-16,461,78,1
2020-12-17,470,125,1
2020-12-18,463,98,1
2020-12-19,490,89,1
2020-12-20,458,68,1
2020-12-21,490,110,1
2020-12-22,430,65,1
2020-12-23,447,115,1
2020-12-24,460,102,1
2020-12-25,392,0,0
2020-12-26,460,178,1
2020-12-27,485,90,1
2020-12-28,452,82,1
2020-12-29,427,77,1
2020-12-30,561,134,1
2020-12-31,487,104,1
2021-01-01,397,0,0
2021-01-02,315,0,0
2021-01-03,531,293,1
2021-01-04,556,159,1
2021-01-05,604,152,1
2021-01-06,869,265,1
2021-01-07,1062,193,1
2021-01-08,960,191,1
2021-01-09,988,187,1
2021-01-10,1034,198,1
2021-01-11,944,175,1
2021-01-12,751,0,0
2021-01-13,996,436,1
2021-01-14,1106,297,1
2021-01-15,1259,351,1
2021-01-16,1450,366,1
2021-01-17,1841,391,1
2021-01-18,2063,658,1
2021-01-19,1766,0,0
2021-01-20,2050,635,1
2021-01-21,3058,1374,1
2021-01-22,3313,646,1
2021-01-23,3271,616,1
2021-01-24,3271,0,0
2021-01-25,3768,1132,1
2021-01-26,3141,747,1
2021-01-27,3292,797,1
2021-01-28,3465,789,1
2021-01-29,4259,794,1
2021-01-30,3899,772,1
2021-01-31,3929,777,1
2021-02-01,3828,696,1
2021-02-02,3830,791,1
2021-02-03,3758,722,1
2021-02-04,3751,765,1
2021-02-05,3769,795,1
2021-02-06,3748,675,1
2021-02-07,3511,554,1
2021-02-08,3579,790,1
2021-02-09,2814,0,0
2021-02-10,3508,1489,1
2021-02-11,3489,656,1
2021-02-12,2935,0,0
2021-02-13,2145,0,0
2021-02-14,3924,1779,1
2021-02-15,2853,418,1
2021-02-16,2673,476,1
2021-02-17,3163,490,1
2021-02-18,3761,598,1
2021-02-19,2488,506,1
2021-02-20,2070,0,0
2021-02-21,2508,914,1
2021-02-22,2476,458,1
2021-02-23,2333,455,1
2021-02-24,2453,626,1
2021-02-25,2855,402,1
2021-02-26,2350,409,1
2021-02-27,2214,322,1
2021-02-28,2170,411,1
2021-03-01,2033,489,1
2021-03-02,2134,503,1
2021-03-03,2075,350,1
2021-03-04,2126,373,1
2021-03-05,1987,272,1
2021-03-06,1734,236,1
2021-03-07,1333,102,1
2021-03-08,1158,175,1
2021-03-09,1015,230,1
2021-03-10,1025,282,1
2021-03-11,1012,223,1
2021-03-12,1153,243,1
2021-03-13,1171,193,1
2021-03-14,941,0,0
2021-03-15,1246,587,1
2021-03-16,1291,268,1
2021-03-17,1272,224,1
2021-03-18,1261,182,1
2021-03-19,1366,105,1
2021-03-20,885,106,1
2021-03-21,723,106,1
2021-03-22,594,95,1
2021-03-23,484,72,1
2021-03-24,500,121,1
2021-03-25,394,0,0
2021-03-26,288,0,0
2021-03-27,458,265,1
2021-03-28,417,31,1
2021-03-29,362,66,1
2021-03-30,387,25,1
2021-03-31,495,108,1
2021-04-01,348,118,1
2021-04-02,363,46,1
2021-04-03,360,63,1
2021-04-04,370,35,1
2021-04-05,327,65,1
2021-04-06,276,67,1
2021-04-07,314,84,1
2021-04-08,251,0,0
2021-04-09,366,150,1
2021-04-10,368,67,1
2021-04-11,301,0,0
2021-04-12,285,68,1
2021-04-13,285,0,0
2021-04-14,253,118,1
2021-04-15,232,46,1
2021-04-16,306,74,1
2021-04-17,238,0,0
2021-04-18,383,145,1
2021-04-19,265,0,0
2021-04-20,328,109,1
2021-04-21,383,129,1
2021-04-22,470,87,1
2021-04-23,325,0,0
2021-04-24,536,211,1
2021-04-25,476,49,1
2021-04-26,396,49,1
2021-04-27,348,39,1
2021-04-28,348,0,0
2021-04-29,219,82,1
2021-04-30,227,57,1
2021-05-01,178,0,0
2021-05-02,227,88,1
2021-05-03,255,28,1
2021-05-04,173,0,0
2021-05-05,211,95,1
2021-05-06,271,60,1
2021-05-07,183,0,0
2021-05-08,229,74,1
2021-05-09,269,40,1
2021-05-10,208,34,1
2021-05-11,232,84,1
2021-05-12,232,0,0
2021-05-13,248,90,1
2021-05-14,265,57,1
2021-05-15,297,66,1
2021-05-16,213,0,0
2021-05-17,278,65,1
2021-05-18,250,62,1
2021-05-19,230,37,1
